date,fee,price,share,market_symbol,type,id
2023-05-19,0,0.02,0.0000000,NASDAQ#AAPL,Dividend,60cdc743-c04b-4c9a-b6fa-52ea8a781be0
2023-05-22,0,489.56,0.0148499,NASDAQ#COST,Buy,fcd8b517-74eb-47f7-b663-98efd9523ef2
2023-05-22,0,187.43,0.0266763,NASDAQ#PEP,Buy,40120baf-2eb9-48da-a3e1-25675326fee8
2023-05-22,0,312.46,0.0245468,NASDAQ#NVDA,Buy,daf72ee6-76cf-4e20-aabd-9cd1c202850e
2023-05-23,0,137.78,0.0725752,NYSE#JPM,Buy,0faf296f-d8ce-4091-acb6-0c44276f8eb3
2023-05-23,0,339.34,0.0147341,NASDAQ#VRTX,Buy,277a4103-e46f-4fc1-acb9-f919677fb9d8
2023-05-23,0,106.16,0.0470951,NYSE#XOM,Buy,38e64a11-63d6-4eb2-888f-f44266493343
2023-05-23,0,231.67,0.0165319,NYSE#V,Buy,64de1301-c442-434b-ab05-0ad65171bc7d
2023-05-23,0,70.31,0.0711055,NASDAQ#FTNT,Buy,0c67a705-eb38-4016-8f9d-5fb9f0db425e
2023-05-25,0,431.8,0.0046316,NYSE#NOC,Buy,78ce33c8-6f9e-491b-9a2c-3c0eea421c23
2023-05-25,0,73.5,0.0680216,NYSE#NEE,Buy,e37990da-aa2a-4633-8451-d5797072f005
2023-05-25,0,207.48,0.0144589,NYSE#BLD,Buy,e1d63516-508e-4ef8-a058-990a604862aa
2023-05-25,0,309.53,0.0161535,NASDAQ#ODFL,Buy,94eceabf-ce6a-4b92-bb0f-e4469bdb2a3a
2023-05-27,0.02,0.19,0.0000000,NASDAQ#NXST,Dividend,e5132f1e-7df4-4631-88c8-c616e445cc9d
2023-05-30,0,59.41,0.1683048,NYSE#O,Buy,b50e79cd-555c-4b44-a5ed-3b7b31372bbf
2023-05-30,0,448.09,0.0116271,NYSE#LMT,Buy,3db045a8-7ed4-4785-96fc-0dd82fde4a50
2023-05-30,0,503.66,0.0198543,NASDAQ#COST,Buy,6bb4225b-18fd-445f-940e-4e32074d0cb4
2023-05-30,0,67.76,0.1308915,NASDAQ#FTNT,Buy,7b03a380-0db7-4130-a717-0e2723c42557
2023-05-30,0,228.97,0.0218365,NYSE#DHR,Buy,c80d5654-b155-4ba8-b998-91f3d0a8bdb2
2023-05-31,0,182.01,0.0549396,NASDAQ#PEP,Buy,7ab784e7-05b8-49b8-ba7a-c9b9a4b2ed69
2023-06-01,0,483.34,0.0213098,NYSE#UNH,Buy,6e7e268a-a087-41ca-b365-fa89667121ba
2023-06-01,0,512.76,0.0195021,NASDAQ#COST,Buy,f1950bae-e257-4cbc-ba11-3defdd714630
2023-06-01,0,428.63,0.0233299,NYSE#LLY,Buy,6ca3e5e3-5491-42ad-8a68-b9030c5bbd25
